"borough","population"
"City of London",8046
"Barking and Dagenham",218367
"Barnet",407148
"Bexley",254970
"Brent",343853
"Bromley",339466
"Camden",257384
"Croydon",400272
"Ealing",361833
"Enfield",342993
"Greenwich",294837
"Hackney",294312
"Hammersmith and Fulham",190721
"Haringey",288913
"Harrow",261348
"Havering",261830
"Hillingdon",316253
"Hounslow",284358
"Islington",242827
"Kensington and Chelsea",160794
"Kingston upon Thames",182728
"Lambeth",340324
"Lewisham",317465
"Merton",212658
"Newham",363552
"Redbridge",312264
"Richmond upon Thames",201713
"Southwark",330290
"Sutton",211297
"Tower Hamlets",328043
"Waltham Forest",290024
"Wandsworth",332731,
"Westminster",259981
